2296 :: ['Warszawa', 'Gdansk', 'Szczecin', 'Bydgoszcz', 'Lodz', 'Poznan', 'Wroclaw', 'Katowice', 'Krakow', 'Lublin', 'Warszawa']
2298 :: ['Warszawa', 'Gdansk', 'Bydgoszcz', 'Lodz', 'Poznan', 'Szczecin', 'Wroclaw', 'Katowice', 'Krakow', 'Lublin', 'Warszawa']
2300 :: ['Warszawa', 'Lublin', 'Krakow', 'Lodz', 'Katowice', 'Wroclaw', 'Poznan', 'Szczecin', 'Gdansk', 'Bydgoszcz', 'Warszawa']
2301 :: ['Warszawa', 'Krakow', 'Katowice', 'Lodz', 'Wroclaw', 'Poznan', 'Szczecin', 'Bydgoszcz', 'Gdansk', 'Lublin', 'Warszawa']
2302 :: ['Warszawa', 'Lodz', 'Wroclaw', 'Szczecin', 'Gdansk', 'Bydgoszcz', 'Poznan', 'Katowice', 'Krakow', 'Lublin', 'Warszawa']
2305 :: ['Warszawa', 'Gdansk', 'Bydgoszcz', 'Poznan', 'Szczecin', 'Lodz', 'Wroclaw', 'Katowice', 'Krakow', 'Lublin', 'Warszawa']
2306 :: ['Warszawa', 'Lublin', 'Krakow', 'Katowice', 'Lodz', 'Wroclaw', 'Poznan', 'Gdansk', 'Szczecin', 'Bydgoszcz', 'Warszawa']
2308 :: ['Warszawa', 'Lublin', 'Krakow', 'Katowice', 'Lodz', 'Wroclaw', 'Szczecin', 'Poznan', 'Gdansk', 'Bydgoszcz', 'Warszawa']
2309 :: ['Warszawa', 'Lublin', 'Krakow', 'Katowice', 'Lodz', 'Wroclaw', 'Bydgoszcz', 'Gdansk', 'Szczecin', 'Poznan', 'Warszawa']
2310 :: ['Warszawa', 'Lublin', 'Krakow', 'Katowice', 'Wroclaw', 'Poznan', 'Lodz', 'Gdansk', 'Szczecin', 'Bydgoszcz', 'Warszawa']
2312 :: ['Warszawa', 'Lublin', 'Krakow', 'Katowice', 'Wroclaw', 'Szczecin', 'Poznan', 'Lodz', 'Gdansk', 'Bydgoszcz', 'Warszawa']
2316 :: ['Warszawa', 'Gdansk', 'Bydgoszcz', 'Szczecin', 'Poznan', 'Lodz', 'Wroclaw', 'Krakow', 'Katowice', 'Lublin', 'Warszawa']
2317 :: ['Warszawa', 'Lublin', 'Krakow', 'Katowice', 'Wroclaw', 'Poznan', 'Szczecin', 'Gdansk', 'Lodz', 'Bydgoszcz', 'Warszawa']
2318 :: ['Warszawa', 'Lodz', 'Szczecin', 'Poznan', 'Bydgoszcz', 'Gdansk', 'Wroclaw', 'Katowice', 'Krakow', 'Lublin', 'Warszawa']
2320 :: ['Warszawa', 'Lodz', 'Lublin', 'Katowice', 'Krakow', 'Wroclaw', 'Poznan', 'Szczecin', 'Gdansk', 'Bydgoszcz', 'Warszawa']
2324 :: ['Warszawa', 'Lublin', 'Katowice', 'Krakow', 'Wroclaw', 'Lodz', 'Poznan', 'Szczecin', 'Gdansk', 'Bydgoszcz', 'Warszawa']
2325 :: ['Warszawa', 'Lodz', 'Bydgoszcz', 'Szczecin', 'Gdansk', 'Poznan', 'Wroclaw', 'Krakow', 'Katowice', 'Lublin', 'Warszawa']
2326 :: ['Warszawa', 'Gdansk', 'Bydgoszcz', 'Szczecin', 'Lodz', 'Poznan', 'Wroclaw', 'Katowice', 'Krakow', 'Lublin', 'Warszawa']
2327 :: ['Warszawa', 'Lodz', 'Bydgoszcz', 'Gdansk', 'Poznan', 'Szczecin', 'Wroclaw', 'Krakow', 'Katowice', 'Lublin', 'Warszawa']
2328 :: ['Warszawa', 'Gdansk', 'Szczecin', 'Poznan', 'Bydgoszcz', 'Wroclaw', 'Lodz', 'Katowice', 'Krakow', 'Lublin', 'Warszawa']
2329 :: ['Warszawa', 'Lodz', 'Poznan', 'Szczecin', 'Bydgoszcz', 'Gdansk', 'Wroclaw', 'Krakow', 'Katowice', 'Lublin', 'Warszawa']
2330 :: ['Warszawa', 'Lodz', 'Bydgoszcz', 'Gdansk', 'Szczecin', 'Wroclaw', 'Poznan', 'Katowice', 'Krakow', 'Lublin', 'Warszawa']
2333 :: ['Warszawa', 'Gdansk', 'Bydgoszcz', 'Lodz', 'Szczecin', 'Poznan', 'Wroclaw', 'Katowice', 'Krakow', 'Lublin', 'Warszawa']
2334 :: ['Warszawa', 'Lublin', 'Krakow', 'Katowice', 'Wroclaw', 'Poznan', 'Lodz', 'Szczecin', 'Gdansk', 'Bydgoszcz', 'Warszawa']
2335 :: ['Warszawa', 'Krakow', 'Katowice', 'Wroclaw', 'Poznan', 'Szczecin', 'Bydgoszcz', 'Gdansk', 'Lublin', 'Lodz', 'Warszawa']
2336 :: ['Warszawa', 'Lodz', 'Gdansk', 'Bydgoszcz', 'Szczecin', 'Wroclaw', 'Poznan', 'Katowice', 'Krakow', 'Lublin', 'Warszawa']
2338 :: ['Warszawa', 'Lodz', 'Wroclaw', 'Poznan', 'Szczecin', 'Gdansk', 'Bydgoszcz', 'Krakow', 'Katowice', 'Lublin', 'Warszawa']
2339 :: ['Warszawa', 'Gdansk', 'Bydgoszcz', 'Szczecin', 'Poznan', 'Lodz', 'Katowice', 'Wroclaw', 'Krakow', 'Lublin', 'Warszawa']
2340 :: ['Warszawa', 'Lodz', 'Lublin', 'Krakow', 'Katowice', 'Wroclaw', 'Poznan', 'Gdansk', 'Szczecin', 'Bydgoszcz', 'Warszawa']
2341 :: ['Warszawa', 'Lodz', 'Wroclaw', 'Poznan', 'Bydgoszcz', 'Szczecin', 'Gdansk', 'Katowice', 'Krakow', 'Lublin', 'Warszawa']
2342 :: ['Warszawa', 'Lodz', 'Lublin', 'Krakow', 'Katowice', 'Wroclaw', 'Szczecin', 'Poznan', 'Gdansk', 'Bydgoszcz', 'Warszawa']
2343 :: ['Warszawa', 'Lodz', 'Lublin', 'Krakow', 'Katowice', 'Wroclaw', 'Bydgoszcz', 'Gdansk', 'Szczecin', 'Poznan', 'Warszawa']
2344 :: ['Warszawa', 'Lublin', 'Krakow', 'Katowice', 'Wroclaw', 'Lodz', 'Poznan', 'Gdansk', 'Szczecin', 'Bydgoszcz', 'Warszawa']
2347 :: ['Warszawa', 'Lublin', 'Krakow', 'Wroclaw', 'Katowice', 'Lodz', 'Poznan', 'Szczecin', 'Gdansk', 'Bydgoszcz', 'Warszawa']
2348 :: ['Warszawa', 'Lodz', 'Wroclaw', 'Poznan', 'Szczecin', 'Bydgoszcz', 'Gdansk', 'Lublin', 'Krakow', 'Katowice', 'Warszawa']
2349 :: ['Warszawa', 'Gdansk', 'Szczecin', 'Bydgoszcz', 'Wroclaw', 'Poznan', 'Lodz', 'Katowice', 'Krakow', 'Lublin', 'Warszawa']
2351 :: ['Warszawa', 'Gdansk', 'Bydgoszcz', 'Wroclaw', 'Szczecin', 'Poznan', 'Lodz', 'Katowice', 'Krakow', 'Lublin', 'Warszawa']
2353 :: ['Warszawa', 'Gdansk', 'Szczecin', 'Wroclaw', 'Poznan', 'Bydgoszcz', 'Lodz', 'Katowice', 'Krakow', 'Lublin', 'Warszawa']
2354 :: ['Warszawa', 'Katowice', 'Krakow', 'Wroclaw', 'Szczecin', 'Gdansk', 'Bydgoszcz', 'Poznan', 'Lodz', 'Lublin', 'Warszawa']
2355 :: ['Warszawa', 'Lublin', 'Krakow', 'Katowice', 'Wroclaw', 'Lodz', 'Gdansk', 'Szczecin', 'Bydgoszcz', 'Poznan', 'Warszawa']
2356 :: ['Warszawa', 'Gdansk', 'Szczecin', 'Poznan', 'Wroclaw', 'Bydgoszcz', 'Lodz', 'Katowice', 'Krakow', 'Lublin', 'Warszawa']
2357 :: ['Warszawa', 'Lublin', 'Lodz', 'Krakow', 'Katowice', 'Wroclaw', 'Poznan', 'Gdansk', 'Szczecin', 'Bydgoszcz', 'Warszawa']
2358 :: ['Warszawa', 'Lodz', 'Wroclaw', 'Poznan', 'Gdansk', 'Bydgoszcz', 'Szczecin', 'Katowice', 'Krakow', 'Lublin', 'Warszawa']
2359 :: ['Warszawa', 'Lublin', 'Lodz', 'Krakow', 'Katowice', 'Wroclaw', 'Szczecin', 'Poznan', 'Gdansk', 'Bydgoszcz', 'Warszawa']
2360 :: ['Warszawa', 'Lublin', 'Lodz', 'Krakow', 'Katowice', 'Wroclaw', 'Bydgoszcz', 'Gdansk', 'Szczecin', 'Poznan', 'Warszawa']
